4170 55147
0 1 0.11409395973154363
1 2 0.12209302325581395
2 3 0.0049504950495049506
3 4 0.04938271604938271
4 5 0.0007674597083653108
5 6 0.14285714285714285
6 7 0.012644508670520232
7 8 0.24210526315789474
0 9 0.03355704697986577
9 6 0.05753739930955121
0 10 0.006711409395973154
10 11 0.08333333333333333
11 12 0.03076923076923077
12 13 0.015363128491620111
13 6 0.22340425531914893
0 14 0.06040268456375839
14 15 0.013550135501355014
15 16 0.041379310344827586
0 17 0.006711409395973154
17 18 0.02706027060270603
18 19 0.004201680672268907
19 20 0.023809523809523808
20 21 0.11594202898550725
21 22 0.04744525547445255
9 23 0.015189873417721518
23 24 0.2678279804028307
24 21 0.05288678394226432
0 25 0.013422818791946308
25 26 0.020750988142292492
26 27 0.07228915662650602
0 28 0.10067114093959731
28 29 0.03571428571428571
29 30 0.03896103896103896
30 31 0.07017543859649122
31 32 0.12272727272727273
28 30 0.03571428571428571
30 32 0.05964912280701754
1 33 0.01744186046511628
33 34 0.031578947368421054
34 35 0.004201680672268907
35 31 0.1206896551724138
28 36 0.047619047619047616
36 34 0.06279863481228669
34 37 0.046218487394957986
37 38 0.023255813953488372
38 39 0.09482758620689655
39 40 0.0018967949029716454
40 41 0.012605042016806723
41 35 0.04087193460490463
31 30 0.01818181818181818
0 42 0.026845637583892617
42 43 0.09386973180076628
43 44 0.06542056074766354
44 34 0.04669260700389105
34 41 0.004201680672268907
35 45 0.04310344827586207
45 30 0.13580246913580246
28 46 0.03571428571428571
46 30 0.010178117048346057
14 47 0.005420054200542005
47 34 0.0625
39 48 0.0006322649676572151
48 39 0.043243243243243246
39 38 0.0003890861339429016
38 41 0.02586206896551724
41 39 0.11989100817438691
39 39 0.2417683964787705
40 29 0.0070028011204481795
29 32 0.030303030303030304
14 49 0.16260162601626016
49 50 0.05172413793103448
50 48 0.022900763358778626
48 51 0.07567567567567568
51 39 0.08695652173913043
39 32 4.86357667428627e-05
50 32 0.008905852417302799
9 52 0.011967779056386652
52 39 0.06060606060606061
39 9 0.009094888380915326
9 39 0.021173762945914845
39 28 0.0006809007344000778
28 53 0.017857142857142856
53 54 0.024721878862793572
54 32 0.04716981132075472
0 55 0.006711409395973154
55 56 0.25
56 57 0.0625
57 58 0.03294573643410853
58 59 0.10294117647058823
59 36 0.1283068783068783
36 53 0.06348122866894199
0 60 0.006711409395973154
60 61 0.01988400994200497
61 48 0.006666666666666667
48 62 0.0972972972972973
62 51 0.14705882352941177
51 31 0.07608695652173914
53 39 0.018541409147095178
39 63 0.0002431788337143135
63 40 0.1111111111111111
40 38 0.049019607843137254
38 35 0.09482758620689655
35 39 0.0603448275862069
39 41 0.000972715334857254
39 35 0.0001945430669714508
0 64 0.006711409395973154
64 65 0.01507537688442211
65 66 0.07063527321190582
66 67 0.05510204081632653
67 53 0.16129032258064516
42 68 0.11973180076628352
68 69 0.006097560975609756
69 29 0.015384615384615385
29 31 0.012987012987012988
14 70 0.07859078590785908
70 31 0.015625
0 71 0.006711409395973154
71 72 0.02564102564102564
72 73 0.01327433628318584
73 74 0.09
74 37 0.3864406779661017
14 36 0.13821138211382114
53 29 0.03955500618046971
28 75 0.011904761904761904
75 54 0.14634146341463414
28 76 0.011904761904761904
76 77 0.09770992366412214
77 78 0.006263048016701462
78 79 0.02654867256637168
79 30 0.25
0 80 0.013422818791946308
80 4 0.011834319526627219
4 81 0.10744435917114352
81 82 0.13673805601317957
82 83 0.09917355371900827
2 36 0.019801980198019802
36 84 0.21023890784982935
84 83 0.015906680805938492
0 85 0.026845637583892617
85 86 0.048742626513505125
86 87 0.004314994606256742
87 85 0.08823529411764706
85 88 0.019869605712511642
88 39 0.12719891745602166
39 89 0.0005836292009143524
89 90 0.16666666666666666
90 91 0.14814814814814814
91 92 0.14960629921259844
92 0 0.1553398058252427
2 93 0.009900990099009901
93 94 0.11764705882352941
85 95 0.012108040981061783
95 94 0.12295081967213115
0 96 0.020134228187919462
96 97 0.07142857142857142
97 98 0.05263157894736842
98 99 0.05714285714285714
99 94 0.07971014492753623
0 100 0.03355704697986577
100 101 0.05357142857142857
101 94 0.08
39 85 0.008851709547201011
85 39 0.044706612853151195
39 42 0.0026749671708574487
42 102 0.02586206896551724
102 24 0.14285714285714285
24 103 0.0014659449706811007
103 39 0.21052631578947367
39 104 0.0002918146004571762
104 39 0.05660377358490566
39 105 0.0004377219006857643
105 106 0.1619718309859155
106 107 0.012658227848101266
107 108 0.0967741935483871
108 109 0.006507592190889371
109 39 0.08
39 110 0.0003890861339429016
110 111 0.10185185185185185
111 112 0.012048192771084338
112 113 0.0851063829787234
114 115 0.05405405405405406
115 24 0.11073825503355705
24 116 0.004736129905277402
116 117 0.25
117 118 0.14285714285714285
118 39 0.054878048780487805
39 119 0.0002918146004571762
119 70 0.19047619047619047
114 120 0.05405405405405406
120 121 0.06666666666666667
121 122 0.02857142857142857
122 123 0.3125
123 124 0.007326007326007326
114 3 0.05405405405405406
3 50 0.050617283950617285
50 125 0.030534351145038167
125 126 0.2629399585921325
126 123 0.3457831325301205
114 127 0.10810810810810811
127 128 0.16666666666666666
128 129 0.013201320132013201
129 130 0.03804347826086957
130 53 0.07482993197278912
53 131 0.023485784919653894
114 128 0.08108108108108109
128 48 0.0462046204620462
48 50 0.1783783783783784
50 131 0.020356234096692113
120 132 0.6666666666666666
132 133 0.12244897959183673
133 134 0.02097902097902098
134 39 0.1
39 135 0.000486357667428627
114 136 0.05405405405405406
136 120 0.009708737864077669
133 135 0.055944055944055944
114 4 0.05405405405405406
4 39 0.043745203376822715
39 120 4.86357667428627e-05
132 135 0.03316326530612245
3 2 0.0012345679012345679
2 137 0.009900990099009901
24 138 0.007893549842129003
138 36 0.24285714285714285
84 139 0.005302226935312832
139 126 0.2342857142857143
126 140 0.033734939759036145
140 141 0.016339869281045753
4 128 0.056024558710667687
128 40 0.0165016501650165
40 142 0.008403361344537815
142 143 0.1564625850340136
143 39 0.34782608695652173
39 144 0.0001945430669714508
144 145 0.3448275862068966
114 146 0.02702702702702703
146 24 0.15789473684210525
24 147 0.008231844835363104
147 148 0.23622047244094488
148 12 0.20833333333333334
12 95 0.027932960893854747
95 149 0.13114754098360656
114 150 0.02702702702702703
150 85 0.047619047619047616
136 151 0.019417475728155338
151 152 0.006024096385542169
152 153 0.20454545454545456
136 154 0.02912621359223301
154 155 0.016
155 156 0.09714285714285714
156 157 0.007751937984496124
157 158 0.01195219123505976
158 159 0.02
159 160 0.08823529411764706
160 13 0.16
13 161 0.026595744680851064
161 162 0.016727272727272726
162 17 0.02127659574468085
17 163 0.006150061500615006
163 164 0.08064516129032258
164 165 0.040268456375838924
165 166 0.3170731707317073
166 167 0.06666666666666667
136 168 0.009708737864077669
168 39 0.1511627906976744
39 115 0.0010213511016001168
115 169 0.04697986577181208
169 39 0.34615384615384615
39 170 0.0008268080346286659
